거래처,주소,전화번호,팩스번호
대한산업가스,경기도 화성시 양감면 사격장길 99-29,031-668-6644,031-354-6756
대한산업가스(당진),충청남도 당진시 석문면 감목길 2,041-355-1722,041-355-2933
대한특수가스,경기도 김포시 하성면 하성로 710,02-3663-2825,031-984-5214
대현엔지니어링,경기 화성 마도면 청원리 12-21번지,010-8924-4039,031-357-1548
대흥샤링,충남 천안시 서북구 신당동 565-3,041-621-1143,041-621-1153
대흥정공.,충청남도 서산시 성연면 해성산업로 148-16,041-429-0021,041-429-0023
더원코리아,경기도 화성시 송산면 송산서로239번길 27-51,010-3651-8767,031-356-1695
덕양가스(당진),충청남도 당진시 석문면 통정리 1404-1,,
동아기술(구.동아플랜트),경기도 화성시 장안면 노진리 930-271,010-3500-6922,031-358-4980
동양산업가스,경기도 광주시 곤지암읍 경충대로 820,031-764-6635,031-764-7037
동원엔지니어링,"충청남도 천안시 서북구 성정공원6길 1-10 104(성정동,로렉스빌)",,
동주산업,경기 화성 향남읍 구문천리 923-2 발안지방산업단지 C-20-2블럭 ,031-354-8330,031-354-8325
두산판금,경기도 시흥시 정왕동 공단3대로 153,031-432-0783,031-432-0785
두영에스티,경기도 남양주시 화도읍 재재기로 137-2,031-594-8328,
드림레이저,경기도 화성시 양감면 정문송산로 93번길 10-47,031-352-1428,031-352-1429
드림맥,경기 화성시 향남읍 만년로151번길 106-27,031-366-4270,031-366-4273
드림이앤지(팔탄),경기 화성 팔탄면 노하길 377,031-356-9385,031-356-9384
디아이이앤티,"서울 성동구 아차산로17길 49, 10층 1004호",070-5138-2101,070-5138-1040
디아이지에어가스(구.대성),"서울 구로구 경인로 662(신도림동, 디큐브시티)",,
디에스텍,경기 화성 우정읍 버들로 372,031-358-6655,031-352-5732
디자인비무(구.이랜드서비스),"경기도 안산시 단원구 정왕천동로70번길 32,1층(성곡동,시화공단 4마 711호 1층공장 301호)",031-506-9494,031-506-9495
디케이가스,경기도 화성시 서신면 마도로 30,010-2661-2563,
라쿨 주식회사(구.신정우),경기도 화성시 팔탄면 시청로721번길 71,031-354-5335,031-696-5332
린데코리아,,,
마스터엔지니어링,"경기도 시흥시 군자천로9번길 54(정왕동, 시화공단 2바 714-1)",031-497-9098,031-497-9097
명성씨엠아이,"경기도 화성시 동탄첨단산업1로 27, 비동 1819호(영천동, 금강펜테리움아이엑스타워)",,
명성코리아테크놀러지,경기도 안산시 단원구 지원로 196(성곡동),,
명인ENG,경기도 평택시 서탄면 수월암5길 37,031-662-3491,031-611-3493
모베이스전자,경기 수원시 권선구 산업로156번길 100(고색동),,031-5174-3380
모소디엔엠(구.한성포장),경상남도 통영시 도산면 법송3길 54-5,055-644-0202,055-642-0202
목포신일가스,전라남도 영암군 삼호읍 난전리 1703-2 대불공단 37-2 블럭,061-462-8981~4,061-462-8985
목포신일가스(한국가스공사 경기지역본부),안산시 상록구 수인로 1248,010-8867-9448,
목포신일가스(한국가스공사 인천지역본부),,,
무한상사,충청북도 음성군 금왕읍 금왕테크노3길 41,010-4780-9435,0504-243-3216
밀성산업가스,경기 화성 팔탄면 포승향남로 2960-115,031-8059-5502~3,031-8059-5952
반석리퀴드앤이엔지,경상남도 밀양시 초동면 명성리 227-1,,
보성엔지니어링(구.신세계),"경기도 화성시 효행로 1243-5, 2층(반월동)",031-225-7871,031-225-7872
복지종합가스,경기도 양주시 칠봉산로131번길 34-26(봉양동),031-858-7373,031-858-7376
부경가스텍,경상남도 김해시 생림면 생철리 238-1,055-336-4040,055-336-4030
부림가스,경기도 수원시 영통구 삼성로320번길 42(원천동),031-214-8204,031-213-9115
부성스틸,경기 화성 양감면 송산리 364,031-8059-7740,031-8059-7741
비엘티(구.에스앤케이),"경기 평택시 청북읍 드림산단5로 50,비동",,
삼보동양,경기 화성 남양읍 현대기아로 625,031-418-3410,031-418-3510
삼성가스,인천 남동구 고잔로 71 (고잔동),032-446-6200,032-446-6199
삼성산업가스,경기도 화성시 정남면 만년로 635-10,031-204-5050,031-204-0482
삼양산업,경상북도 포항시 북구 흥해읍 동해대로 1887,054-262-0033,054-262-0038
삼정가스공업,인천광역시 서구 신현동 224,032-575-1441~5,032-583-1009
삼정특수가스,경기도 화성시 양감면 개월안길 110-22,031-354-5527,031-354-5526
서부모터펌프,경기도 화성시 팔탄면 푸른들판로1010번길 85-6,070-8285-1887,070-4833-1882
서울특수가스,충청북도 음성군 금왕읍 금일로 520,02-2663-8434,02-2663-8454
서원플랜트(태성이엔지),경기도 화성시 마도면 해운로 731-3,031-355-2882,031-355-6556
세광산업1공장,경기 화성 마도면 마도공단로4길 24-4 (마도산업단지6B-6L),031-319-3233~4,031-355-1506
세종산업가스,세종특별자치시 전동면 운주산로 638,044-865-9505,044-865-9508
세진가스텍(매크로드)구.태경,경기도 안성시 보개면 남사당로 340-28,,
세진가스텍(명성중공업),경기 평택시 포승읍 만석길 18번지,031-686-9625,
세진가스텍(성호에스엔비),경기도 화성시 향남읍 서봉로 395-40,031-232-4141,
세진가스텍(세양H&S),경기 시흥시  정왕동 시화벤처로 194번지(MTV 2사 602호),031-434-6551,
세진가스텍(세종기공),경기도 안산시 단원구 성곡로 198번길 5,031-494-4220,
세진가스A,,031-354-3713,031-354-3090
승우산업,"경기도 광주시 도척면 다람로 114, 1층",031-8027-0045,031-8027-0046
신비오케미컬,충청남도 서산시 대산읍 대죽산업로 56,041-669-6425,041-669-6426
신비오켐,전남 여수시 여수산단로 734,061-684-6425,061-684-6428
신아기계,경기도 화성시 팔탄면 현대기아로 15-37,031-366-4448,031-8059-4449
신양메디슨(가스코아산),,,
신일가스(본사),광주 광산구 하남산단5번로122 (장덕동),062-951-0011,062-951-8594
신천종합가스,경기도 시흥시 미산로 111-6(미산동),031-315-6161,
신흥이엔지,강원도 속초시 농공단지길 90(대포동),010-8839-4840,
씨에스가스텍,경기 화성 송산면 칠곡길 157,031-352-9078~7,031-355-4992
아이스푸드앤바인(구.바인컴퍼니),충청북도 음성군 금왕읍 성본산단1로 163,010-3736-4827,031-297-0038
에니스,경상북도 영천시 북안면 유하큰길 43,031-682-6654,031-683-6650
에스앤디 주식회사,울산 남구 장생포고래로 317(매암동),052-226-6000,052-226-6099
에스앤디(한국가스공사 서울지역본부),경기 고양시 일산 동구 경의로 127(백석동 1143-2),010-4678-4214,
에스앤케이.,경기 평택시 청북읍 드림산단5로 50,031-683-1858,031-683-1859
에스에이치코리아,경기도 김포시 대곶면 송마로52번길 67,031-988-1538,031-624-1539
에어퍼스트,경기 용인 기흥구 농서로 60,,
에어프로덕츠,,,
에이원의료기산업,경기 화성 팔탄면 안산동길 88-26,031-293-6008,031-227-3684
에이치엘비생명과학,"경기도 화성시 동탄구 동탄첨단산업1로 51-9, 8층(영천동,엠타워지식산업센터)",,
에이치이엠씨,"전라남도 나주시 교육길 14, 701-에이4호(빛가람동, 동신대 에너지클러스터)",,
에프알디,충청북도 진천군 이월면 장수로 343-1,043-536-0395,043-536-0399
엔케이철강,경기 화성 장안면 석포리 665-23번지,031-474-0050,031-474-0053
엔투,"경기도 시흥시 공단1대로 379번길 22, 시화공단 4나 501호(정왕동)",031-431-9947,031-431-9946
엔티에스(김포),"경기도 김포시 김포한강10로133번길 107, A동 3층 365호(구래동)",010-8531-8928,
엘에스와이산업가스,경기 부천시 오정구 송내대로518번길 110(삼정동),032-677-8641,032-683-8002
엠에스동민특수가스,경기도 평택시 청북면 고렴길 181번길 13,031-683-8031,031-683-0921
엠에스테크,경기도 평택시 서탄면 수월암5길 37,,
엠제이쿼츠,충청북도 진천군 문백면 농다리로 200(석인글라스),010-6434-3023,
영광특수가스,경기 광주시 진토길21번길 39(목동),031-502-3592,031-502-3591
영신방재,경기도 화성시 송산면 송산산단길 127,010-3095-7142,
영신에프엔씨,경기도 화성시 마도면 마도로620번길 22-15,031-366-8474~6,031-366-8408
영신이엔에스,경기도 화성시 마도면 마도로 620번길 22-15,031-366-8474,031-366-8408
영신코아스,경기 화성 마도면 마도로620번길 22-15,031-366-8474,031-366-8408
예성이엔지(당진),충남 천안시 서북구 성거읍 오송1길 114-12,041-569-2586,041-569-2587
예성이엔지(아산),충남 천안시 서북구 성거읍 오송1길 114-12,041-569-2586,041-569-2587
예성이엔지(오산),경기도 오산시 지곶중앙로88 원정이엔지,041-569-2586,041-569-2587
오비맥주(용역운송),"경기 이천시 부발읍 경충대로 2341, 1층",,
용역운송(OB맥주-신비오),,,
용진,경기도 평택시 청북읍 드림산단2로 63,031-8059-3412,031-8059-3414
우창산업건설(주),"경기도 안산시 단원구 광덕대로 187, 5층 505호(고잔동, 장은타워)","031-482-9200,9201,9307",031-482-9203
원이엔지,경기도 화성시 서신면 전곡산단13길 7,070-4509-7472,050-8090-4648
위드산업조명,경기도 화성시 장안면 석포리 761-58,031-357-7272,031-355-6699
유니온가스,경기도 화성시 정남면 시청로 1732-69,031-8059-5155,031-8059-5159
유엔씨테크,경기도 화성시 정남면 정남산단2길 18,031-366-7333,031-366-7330
유진화학(안중),경기 평택시 포승읍 325-2,031-682-4477,031-682-8379
유한가스화학(주),경기도 화성시 송산면 당성로 487-18,031-356-8110,031-356-8120
유한에프앤디(구.유한산업),"경기도 이천시 호법면 안평로 59-35, 비동 2층",,
윤익스디티에스,경기 용인시 처인구 남사읍 원암로 323,,
이엔에이치,충청남도 아산시 둔포면 아산밸리북로 112,041-548-5325,
이화산업가스,경기도 시흥시 오이도로 22-29 (정왕동),031-498-6900,031-497-8318
일광잉크페인트,경기도 화성시 마도면 마도로 421-19,031-355-0991,031-355-0980
일영랩,경기도 화성시 반월길 12번길 9-11(반월동) ,031-237-3301,031-237-3302
재원인더스트리,경기 화성 송산면 송산포도로 601-32,031-355-5404,031-355-5405
정도레이저,경기도 화성시 마도면 마도로 527,010-9409-8005,031-357-6443
정아유압,경기 화성 마도면 마도로660번길 37-12,031-355-5552,031-356-5991
제원산업,경기 평택시 서탄면 수월암리 539,031-663-9264,031-664-2363
제이와이스틸,경기 화성시 서신면 화성로 106-7,031-357-9417,031-357-9419
제이케이지산업가스(구.서진산업가스),"경기도 김포시 대곶면 약암로 497, 외 3필지",031-983-8533,031-983-8633
제일가스,인천광역시 서구 두루물로8번길 46 (오류동),032-567-6050,032-567-6058
제티아,인천광역시 남동구 만월북로2번길 34(간석동),010-3934-3590,
중도가스(용기폐기),,,
중원산업가스,충청남도 당진시 역천로 39(구룡동),041-357-5007~8,041-355-0905
지앤티테크,경기 화성 향남읍 서봉로 675,031-831-3616,031-831-3617
지엠레이저,충남 당진시 송악읍 순성로 822-49,010-2256-0070,
지오에스앤피,"경기도 평택시 울성길 243, 3동(지제동)",,
지윤주식회사,인천광역시 서구 북항로 207번길 41(원창동),010-7368-1024,
지현이엔지,"경기도 화성시 팔탄면 서해로 1327-16, 사무실동 2층",010-6505-1015,
진성테크원,경기도 화성시 팔탄면 고주동방길 16-27,010-4301-0796,
진양비지엠텍,경기 화성 팔탄면 노하길 367,031-8059-5242,031-366-5203
창신플라텍,경기도 화성시 장안면 매바위로366번길 75,031-355-7333,031-355-7332
천보기계,경기 화성 마도면 쌍송길 60-71,031-831-3522,031-355-4732
천해고압용기,부산 사상구 낙동대로 1314,,
칠성가스,경기 화성 팔탄면 노하리 1096-1,031-357-0700,031-357-5039
케이디피주식회사(구.한국다이아몬드),경기도 화성시 팔탄면 온천로 437-17,031-366-6705,031-366-6707
케이엘텍,"경기도 안산시 단원구 첨단로 175,910호(성곡동, 시화공단 5바)",031-433-5533,031-433-5885
코오롱글로벌,"경기도 과천시 코오롱로 11, 6층(벌양동, 코오롱)",02-2199-1942,02-2199-1943
코웨이엔텍,"서울특별시 성북구 화랑로 76, 202호(하월곡동, 코업스타클래스)",,
큐에스아이,충남 천안시 서북구 성거읍 천흥8길 17번지,,
태광기업,경기 화성 효행로 1319(반월동),031-223-2900,031-223-2904
태광산업가스,경기 이천시 진상미로 2315(장록동),031-635-3628,031-633-6612
태성레이저(벌크),"경기도 화성시 팔탄면 버들로1362번길 14, 비동",010-8059-0595,031-8059-0596
태성레이저(실린더),경기도 화성시 팔탄면 버들로1362번길 14,031-8059-0595,031-8059-0596
태성EPS,충청북도 충주시 대소원면 메가폴리스2로 36,043-724-0020,043-724-0070
테크린주식회사,충청남도 천안시 서북구 입장면 삼사로 2028-24,041-581-7701,041-581-7702
티에스케이가스 주식회사,경기도 김포시 월곶면 애기봉로 293,031-997-3033,031-987-3040
포엠주식회사,"경기도 시흥시 마유로132번길 56, 3라708호(정왕동,상훈전기)",031-497-7730,031-497-7720
품목구분용,,,
피에스지(코스본주식회사) ,"부산광역시 동구 자성로133번길 15, 12층(범일동)",041-557-1671,041-558-6144
피케이지,"경기 시흥시 엠티브이26로 58번길 31(정왕동, 2사405호)",070-5034-3504,031-696-5002
하이레이저 ,경기도 광주시 초월읍 현산로385번길 1,031-769-0015,031-769-0016
하이레이저(안성),"경기도 안성시 미양면 안성맞춤대로 596, 1동 1층 1호",070-8898-0418,031-674-7708
한국가스코,경기도 김포시 통진읍 옹정로 27,1577-4625,031-982-1992
한국메티슨특수가스,충청남도 아산시 음봉면 음봉면로 94,041-539-7467,041-539-7499
한국생산기술연구원,충청남도 천안시 서북구 입장면 양대기로길 89,,
한국스페셜가스,경기 김포시 대곶면 송마리 635-1,031-989-7125,031-989-7126
한국콜드체인,경기도 이천시 경충대로3070번길 154-3(사음동),031-631-5260,031-634-5260
한국탄산,경기도 시흥시 서해안로 140(정왕동),031-498-9231,031-498-9237
한국특수가스,충청남도 당진시 석문면 대호만로 1903-13,031-415-0305,031-408-0305
한성중기,"경기도 화성시 큰재봉길 23-4, 202호(석우동, 석진블루체)",031-613-7771,031-624-7303
한성플랜,경기도 광주시 도척면 저수지길 90-32 2층,031-798-7847,031-798-7838
한양종합가스,경기 시흥시 정왕동 2208-1,031-434-1414,031-434-0064
한울티엘,"경기도 화성시 팔탄면 서해로 1327-9, 1층, 2층",031-246-0810,031-246-0811
한일가스충전소,충남 천안시 동남구 중리1길 93(구룡동),041-574-5007,
현대연구소(남양),경기도 화성시 현대연구소로 150,,
현대연구소(마북),경기도 화성시 현대연구소로 150,,
현동산업,"경기도 화성시 팔탄면 온천로 43-5, 3동",010-3918-9099,
형제산업가스,"서울 구로구 고척로60번길 13, 1층상가 (고척동)",02-2645-6800,02-2645-6825
화성신일가스,,,
화성앰코테크놀로지,인천 연수구 송도미래로 150,,
화성LPG충전소,경기 화성 팔탄면 구장길 106,031-354-6611~0,031-354-6213
화인실텍,경기 광주시 곤지암읍 경충대로 784-82,,
KS테크,,031-658-7440,031-658-7439
MS가스,,,
MS가스(전북영업소),,063-856-1215,063-856-1217
MS가스(천안),,,
Z82항공정비창,충남 서산시 해미면 신성로 330-1 사서함 384-27호 (연암초등학교),,
Z가람플랜트,경기도 화성시 우정읍 기아자동차로299번길 51-46,,
Z가스켐(팔탄),경기 화성 팔탄면 터넉골로 70,031-352-9064,031-352-9065
Z가스켐테크놀로지,충북 진천군 덕산면 신척산단5로 74,043-532-9611,043-532-9711
Z가스코,충청남도 아산시 둔포면 윤보선로 555,041-543-6582,041-543-6584
Z가스코아산(가람이앤지),충청남도 아산시 음봉면 산동로 80-20 1층,041-531-2901,041-531-2902
Z가스코아산(경성이테크),화성시 장지동 826번지 ,,
Z가스코아산(나온)-에스앤지테크,경기도 오산시 경기대로636번길 126-47(외삼미동),,
Z가스코아산(라누이엔지),경기도 화성시 고매동 560번지 ,,
Z가스코아산(성신ENG),,,
Z가스코아산(승지플랜트),경기도 시흥시 시화공단1다106호 kgets공장,,
Z가스코아산(아진산업건설),"경기도 용인시 기흥구 상갈로23번길 8, 308호(상갈동)",,
Z가스코아산(에스앤지테크) -대진테크,경기 오산시 외삼미로 60-16,010-5910-6561,
Z가스코아산(일성광고기획),경기도 시흥시 정왕천로 355번길 6,,
Z가스코아산(진성이엔지),경기도화성시 동탄대로21길 10 더퍼스트타워 2002호,031-372-7553,031-613-7976
Z가스코아산(투엘보),,,
Z가스코아산(티엠비),인천광역시 남동구 남동서로 23번길 남동공단 123BL13로,,
Z가스코아산(파라텍2),경기 화성시 금곡동 511-6,010-8011-8346,
Z가스코아산(파라텍3),경기도화성시반월동333-9,,
Z가스코아산(파라텍MR2),경기 용인시 기흥구 고매동 224,,
Z가스코아산(한양이엔지DS),경기 용인 기흥구 고매동 219-5,010-7474-3892,
Z가스코아산(한일가스),경기도 시흥시 오이도로 22-29번길,031-498-8203,031-498-0936
Z가스코아산(화성케미칼),,,
Z가스코아산(P&W eng),경기 시흥시 정왕동 1238-3,010-2351-5087,
Z가스텍(서산),충청남도 서산시 음암면 석동로 394(외2필지),041-667-0984,041-667-0985.
Z가스텍(큐에스아이) ,충남 천안시 서북구 성거읍 천흥8길 17 ,041-667-0984,041-667-0985
Z가스플랫폼,경기 안양 동안구 시민대로383번길 18(관양동),,
Z가스플랫폼(라니아에스테틱),경기도 안양시 동안구 시민대로383번길 18(관양동),,
Z강남종합가스,울산광역시 울주군 상북면 길천산업 2길 2 ,052-933-6000,052-933-6001
Z경인에코,,031-353-8619,
Z경인특수가스,인천광역시 남동구 논현동 111-179 제5호,032-446-1177,032-442-6867
Z경희대학교-산악협력단,"서울 동대문구 경희대로 26 (회기동, 경희대학교 서울캠퍼스)",010-8993-7787,
Z고려특수가스,경기 화성 팔탄면 안산동길 61,031-354-3399,031-354-6164
Z광영산업,경기 시흥시 정왕동 1381-11 시화공 3마-418,010-7441-2251,031-319-6529
Z광재종합가스,"경기 시흥시 오이도로 22-29 (정왕동, 1다1001)",031-491-0006,031-491-1295
Z광주앰코테크놀로지,,,
Z국제종합가스,경기도 안양시 동안구 시민대로 95(호계동),010-4595-0341,031-427-4703
Z그린에어가스,경기 파주시 문산읍 화석정로 2-3,032-822-6663,032-822-6664
Z그린활성탄소,경기 화성 팔탄면 서해로 1313번길 33-19,031-8059-5391,031-8059-5395
Z금오가스,경기도 파주시 조리면 장곡리 598-36,031-941-9353~5,031-941-3936
Z금화테크,경기 화성 서신면 마도로 70-33,031-366-9358,
Z나주신일가스(디투엔지니어링),경기도 화성시 향남읍 발안공단로 3길 52번지,,
Z나주신일가스(한국가스공사 인천기지본부),인천시 연수구 인천신항대로 960,032-810-4666,032-810-4504
Z나주신일가스(한국이알이시),경기도 화성시 향남읍 발안공단로 283,070-7493-6990,070-8255-6990
Z단일가스켐(주),충북 청원군 오창읍 송대리 311-4,,
Z대건하이텍,경기도 화성시 향남읍 발안로 702-59,031-352-5021,031-352-5031
Z대광가스(남광글라스),,,
Z대광가스(미창유리),충북 음성군 대소면 부윤리 247-1번지,,
Z대광가스(삼다강업),경기 시흥시 마유로 186번길 69 시화산업단지 3다312,031-432-8950,
Z대광가스(삼정하이텍),충남 예산군 삽교읍 효림리 196-6 예산산업단지내 이수(주)공장내 좌측 끝 2번째,,
Z대광가스(승호정밀),,,
Z대광가스(한빛유리),충북 음성군 대소면 내산리 381-1,,
Z대광가스B,경기 화성 남양읍 무송리 128,,
Z대광파워텍,경기 화성 서신면 제부로654번길 46-16,031-366-7834,031-366-7835
Z대길종합가스,경기 화성 정남면 만년로 366,031-222-5567~8,352-2194
Z대동라디에터,경기도 화성시 팔탄면 버들로 1337-16,031-354-6448,0303-0944-6333
Z대성기계공업,경기 화성 정남면 망월리 290,031-213-0092,031-213-9905
Z대성중장비,경기 시흥시 논곡동 96-1,031-8059-6744,031-8059-6748
Z대양에너지,경기도 이천시 마장면 중부대로533번길 42-3,1588-7133,031-637-2766
Z대영산업가스,경기도 화성시 봉담읍 하가등리 262-1,031-295-6860,031-295-6862
Z대영종합가스,전북 군산 소룡 1622,063-467-6860~2,063-467-6863
Z대유스틸,경기 화성 서신면 효자각로 100-15,031-357-8302,031-357-8308
Z대유코아,"부산 사상구 장인로 78번길 13(학장동, 대유코아)",051-313-4270,051-313-4273
Z대한산업가스,경기 화성 마도면 쌍송리 395,031-355-1241~2,031-355-1243
Z대호,"경기도 화성시 양감면 정문송산로241번길 24, 1층",070-8859-1404,031-352-4084
Z대호종합가스(대주중공업),,,
Z대호종합가스(삼우철강),,,
Z더베스트하우스,경기 평택시 안중읍 서해로 1004,031-681-7237,
Z덕산정밀,"경기 화성 비봉면 화성로 1616번길 69-3, 1층",031-357-8653,031-357-8654
Z덕양,충남 서산시 대산읍 독곶1로 41,041-681-3541,
Z데코엑스지,"경기도 화성시 효행로 1243-5,2층(반월동)",010-5720-1658,
Z동광가스,서울 양천구 신정동 170-14,02-2696-2356,02-2643-2414
Z동덕산업가스(주),울산광역시 남구 매암동 133-5,052-226-6040~6000,052-226-6099
Z동방성신(두진기공),경기도 화성시 송산면 칠곡리 17-29,,
Z동방컨테이너,경기 화성 마도면 송정리 116-4번지,031-366-9391,031-366-9392
Z동아산업가스,경기 광주시 송정동 439-1,031-765-3655,031-765-3657
Z동아이엔지(주),경기도 화성시 장안면 버들로 1070-9,031-358-7833,031-351-4300
Z동아플랜트,충청남도 당진시 송악읍 부곡공단4길 53-39,010-3500-6922,
Z동양가스,경기도 안양시 동안구 호계동 656-5,031-455-7000,031-357-5039
Z동연캠,"서울 강남구 논현로2길 66(개포동, 대건빌딩1층)",070-4870-1910,070-8230-2720
Z동우가스텍 ,경기도 시흥시 포도원로116번길24(신천동),,
Z동은가스텍,경기도 안산시 단원구 대부동동 1253-5 ,,
Z동은스틸,서울 영등포구 문래동 3가 54-25번지,02-2678-8423,02-2676-4655
Z동호철재,인천 남동구 고잔동 513-2번지,032-816-5916,032-816-5918
Z두손레이저,경기 안산시 단원구 신길동 332-10,031-494-9547,031-492-4772
Z두손피씨,경기 안산시 단원구 황새바위길 94(신길동322-10),031-494-9547,031-492-4772
Z두한테크,"경기도 화성시 팔탄면 현대기아로 44-34, 1동",,
Z둔포가스(가스코아산),충남 아산시 둔포면 윤보선로 362,041-543-3652,
Z드림이앤지(본사),경기 화성 서신면 송교리 화남지방산업단지3블럭4롯트,031-356-9385,031-356-9384
Z디에스파워(주),경기도 오산시 황새로 149번길55(누읍동),031-370-7400,031-370-7498
Z디엠피,경기도 수원시 권선구 산업로92번길 106(고색동),031-459-6560~2,031-459-6563
Z라온시스템(구.천우산업개발),경기도 화성시 장안면 석포공단길 10-11,031-351-5751,031-351-5750
Z라이닉스,경기 화성 봉담읍 당하리 67 나-101호,031-215-9005,031-215-9014
Z라이프턴코리아,경기 시흥시 비둘기공원 6길 25(대야동 견우프라자 401호),031-8044-7265,031-318-7265
Z로텍시스템,경기 화성 팔탄면 서해로1313번길 27동(비동),070-4147-8240,031-352-8518
Z메디코넷,강원 원주시 문막읍 동화리 1642-5 동화첨단의료기기산업단지내 원주벤처공장1-203,031-742-0240,
Z명성산업가스,인천 강화군 길상면 길상로 98-36,010-4159-3370,
Z명승기업,경기도 시흥시 정왕동 1702번지,031-319-7502~3,031-319-7508
Z모던텍,경기 김포시 대곶면 석정리 91-2,031-983-3681,031-983-3691
Z모베이스전자(평촌),안양시 동안구 부림로 170번길 41-22,010-8969-3456,
Z미래산업가스,경기 안양시 만안구 전파로44번길 19(안양동),031-449-7771~2,031-468-7800
Z미래요양,"경기 안산시 단원구 선부광장1로 38 선부동,상록타운4층",,
Z미래이엔지,경기 화성 봉담읍 덕위길 9-16,031-295-9176,031-295-9177
Z미성종합가스,충청남도 서산시 고북면 고북1로 343-12,041-663-2652,041-663-2733
Z밀성가스뱅크,"경기 화성 정남면 신리 219-1,2",031-352-6914,031-352-6917
Z바른수정형외과의원,"경기도 화성시 남양읍 시청로 109, 401호 2072-5",031-357-7569,031-357-8273
Z바인컴퍼니,충청북도 음성군 금왕읍 성본산단1로 163,010-3736-4827,031-297-0038
Z백암가스(가스텍 인천),경기도 이천시 장호원읍 어석로120번길 51-46,,
Z버무리,경기 화성 안녕,,
Z비강이앤비,경기 화성 장안면 수촌리 1029-11,031-997-2229,031-997-2249
Z비엘티2공장,경기 평택시 청북읍 어연리 770-8,010-5551-0766,
Z비엘티3공장,평택시 청북읍 드림산단5로 54,,
Z비피엠,"경기 시흥시 공단1대로 244, 7동 226호",,
Z삼광가스테크,,02-2638-0809,
Z삼마기업,경기 화성 양감면 사격장길 88-30,031-366-6128,031-966-6130
Z삼성산소(환경시설관리공단) ,충청북도 청주시 흥덕구 강내면 상월곡길 10,043-283-0202,043-233-3785
Z삼영엔지니어링,경기도 화성시 팔탄면 지월리 577-5,031-355-7612,031-355-7613
Z삼영테크,경기 화성 서신면 해운로458번길 94-29,031-355-8068,
Z삼영ENG,경기 화성 서신면 광평리 221-25,,031-355-6771
Z삼원절연,경기도 화성시 팔탄면 고주리 122-58,031-8059-1480,031-8059-1495
Z삼중ENG,경기 시흥시 정왕동 1272-3 시화공단 3라 -216,031-431-2882,031-431-2883
Z상보특수용접,"경기 화성시 비봉면 주석로 428-9 , 에이-3동",010-9988-2784,031-357-2795
